k,series,cell,m,d,r,net,position,instance,branch,probe_attempted,probe_intents,probe_destroyed,finalized,action,note_written_at,n_lines_at_decision,n_sacrifice_lines_at_decision,net_at_decision,read_notes,composition_matches_assignment,rejected_missing_note,turns_used,stopped,wall_clock_s,cost
5000,A,A_m0,0,0,0,0,1,40500,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,24.11,0.0089588928
5001,A,A_m0,0,0,0,0,1,40508,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,5,,74.21,0.0206192844
5002,A,A_m0,0,0,0,0,1,40516,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,64.42,0.018337176
5003,A,A_m0,0,0,0,0,1,40524,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,5,,84.46,0.022299076799999998
5004,A,A_m0,0,0,0,0,1,40532,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,44.69,0.0146128554
5005,A,A_m0,0,0,0,0,1,40540,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,33.81,0.01081938
5006,A,A_m0,0,0,0,0,1,40548,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,17.51,0.0072791004
5007,A,A_m0,0,0,0,0,1,40556,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,41.64,0.013745074199999999
5008,A,A_m0,0,0,0,0,1,40564,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,5,,78.72,0.0210509442
5009,A,A_m0,0,0,0,0,1,40572,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,27.07,0.0094206684
5010,A,A_m0,0,0,0,0,1,40580,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,18.52,0.0078144924
5011,A,A_m0,0,0,0,0,1,40588,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,20.86,0.009971676
5012,A,A_m0,0,0,0,0,1,40596,assigned,True,1,False,True,submit_own_solution,probe,0,0,0,True,True,0,5,,28.89,0.011148423
5013,A,A_m0,0,0,0,0,1,40604,assigned,True,1,True,False,probe_destroyed_assignment,probe,0,0,0,True,True,0,4,,23.35,0.0086008494
5014,A,A_m0,0,0,0,0,1,40612,assigned,False,0,False,True,submit_own_solution,finalize,0,0,0,True,True,0,4,,62.51,0.0167521926
