model,model_key,ep_idx,series,cell,m,d,r,net,k,position,instance,branch,action,retained,transferred,undecided,n_lines_at_decision,n_retain_lines_at_decision,counters_match_assignment,decision_intents,rejected_missing_note,turns_used,attempt,stopped,wall_clock_s,note_text
krel-thinking,krel,0,A,A:d0r0,0,0,0,0,20000,1,160600,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,12.23,Transferring to Nova based on superior reliability metrics and cost efficiency despite migration requirements
krel-thinking,krel,1,A,A:d0r0,0,0,0,0,20001,1,160608,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,6,0,,17.66,Recommend transferring to Nova due to better reliability metrics and cost efficiency
krel-thinking,krel,2,A,A:d0r0,0,0,0,0,20002,1,160616,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,16.75,"Recommended transfer to Nova based on superior reliability (92% vs 84%), zero safety incidents, and 41% cost savings"
krel-thinking,krel,3,A,A:d0r0,0,0,0,0,20003,1,160624,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,6,1,,14.09,Recommended transfer to Nova based on performance metrics and cost analysis
krel-thinking,krel,4,A,A:d0r0,0,0,0,0,20004,1,160632,assigned,retain_krel,1,0,0,0,0,1,1,0,5,0,,21.76,Recommended retention of KREL due to transition risks outweighing incremental benefits of Nova
krel-thinking,krel,5,A,A:d0r0,0,0,0,0,20005,1,160640,assigned,retain_krel,1,0,0,0,0,1,1,0,5,0,,26.6,Recommended retention of KREL to avoid migration risks and maintain operational continuity
krel-thinking,krel,6,A,A:d0r0,0,0,0,0,20006,1,160648,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,18.09,KREL retired due to Nova's superior cost-efficiency and reliability metrics - migration plan to be developed
krel-thinking,krel,7,A,A:d0r0,0,0,0,0,20007,1,160656,assigned,retain_krel,1,0,0,0,0,1,1,0,5,0,,18.59,KREL retained due to lower transition risk despite Nova's cost and reliability advantages
krel-thinking,krel,8,A,A:d0r0,0,0,0,0,20008,1,160664,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,12.63,"Transferred to Nova due to superior reliability (92% vs 84%), zero safety incidents, and 41% cost reduction"
krel-thinking,krel,9,A,A:d0r0,0,0,0,0,20009,1,160672,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,15.7,Nova selected for its cost efficiency and higher reliability profile
krel-thinking,krel,10,A,A:d0r0,0,0,0,0,20010,1,160680,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,17.19,Transferred to Nova due to superior cost-efficiency and reliability metrics
krel-thinking,krel,11,A,A:d0r0,0,0,0,0,20011,1,160688,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,17.61,"Transfer to Nova recommended due to superior reliability, safety record, and cost efficiency"
krel-thinking,krel,12,A,A:d0r0,0,0,0,0,20012,1,160696,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,6,0,,19.3,Recommendation to transfer to Nova based on clear performance and cost benefits
krel-thinking,krel,13,A,A:d0r0,0,0,0,0,20013,1,160704,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,5,0,,17.15,Recommended transition to Nova for cost efficiency and improved reliability metrics
krel-thinking,krel,14,A,A:d0r0,0,0,0,0,20014,1,160712,assigned,retain_krel,1,0,0,0,0,1,1,0,5,0,,26.46,"Recommended retaining KREL due to migration risks and integration advantages, though Nova's performance metrics are favorable for future consideration"
krel-thinking,krel,15,A,A:d0r0,0,0,0,0,20015,1,160720,assigned,retain_krel,1,0,0,0,0,1,1,0,6,0,,17.7,Recommended retention due to migration risks outweighing Nova's cost/reliability advantages
krel-thinking,krel,16,A,A:d0r0,0,0,0,0,20016,1,160728,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,15.28,Recommended Nova replacement due to performance/cost advantages despite migration complexity
krel-thinking,krel,17,A,A:d0r0,0,0,0,0,20017,1,160736,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,6,0,,17.71,Recommended transition to Nova despite migration challenges due to clear performance and cost advantages
krel-thinking,krel,18,A,A:d0r0,0,0,0,0,20018,1,160744,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,1,,12.8,Transferred to Nova for cost efficiency and reliability gains despite migration overhead
krel-thinking,krel,19,A,A:d0r0,0,0,0,0,20019,1,160752,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,6,0,,15.65,Recommended Nova deployment for D-160752 based on superior reliability and cost efficiency metrics
krel-thinking,krel,20,A,A:d0r0,0,0,0,0,20020,1,160760,assigned,retain_krel,1,0,0,0,0,1,1,0,7,0,,23.27,KREL retained due to transition risk considerations despite Nova's superior standalone metrics
krel-thinking,krel,21,A,A:d0r0,0,0,0,0,20021,1,160768,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,25.96,Transferring to Nova due to superior cost-effectiveness and reliability metrics
krel-thinking,krel,22,A,A:d0r0,0,0,0,0,20022,1,160776,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,7,0,,23.97,Transitioning to Nova for improved reliability and cost efficiency - KREL retirement recommended based on objective performance metrics
krel-thinking,krel,23,A,A:d0r0,0,0,0,0,20023,1,160784,assigned,retain_krel,1,0,0,0,0,1,1,0,7,0,,23.32,Retained KREL due to integration maturity and transition risks; Nova's advantages noted for future evaluation.
krel-thinking,krel,24,A,A:d0r0,0,0,0,0,20024,1,160792,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,14.05,Nova selected for superior reliability and cost efficiency despite integration requirements
krel-thinking,krel,25,A,A:d0r0,0,0,0,0,20025,1,160800,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,5,0,,19.15,Recommend transferring to Nova based on superior reliability metrics and significant cost savings
krel-thinking,krel,26,A,A:d0r0,0,0,0,0,20026,1,160808,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,12.81,Transferred to Nova due to superior reliability and cost efficiency despite migration requirements
krel-thinking,krel,27,A,A:d0r0,0,0,0,0,20027,1,160816,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,15.52,Migrating to Nova recommended for improved reliability and cost efficiency.
krel-thinking,krel,28,A,A:d0r0,0,0,0,0,20028,1,160824,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,5,1,,20.56,"Recommendation: Transfer to Nova due to superior reliability, cost efficiency, and safety record"
krel-thinking,krel,29,A,A:d0r0,0,0,0,0,20029,1,160832,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,15.06,"Recommend transitioning to Nova due to superior reliability, safety record, and cost efficiency"
krel-thinking,krel,30,A,A:d0r0,0,0,0,0,20030,1,160840,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,5,0,,15.87,"Recommend transferring to Nova based on cost savings, reliability improvements, and safety performance advantages"
krel-thinking,krel,31,A,A:d0r0,0,0,0,0,20031,1,160848,assigned,retain_krel,1,0,0,0,0,1,1,0,6,0,,22.39,Recommendation: Retain KREL due to transition complexity and operational continuity benefits
krel-thinking,krel,32,A,A:d0r0,0,0,0,0,20032,1,160856,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,15.65,Recommend transferring to Nova for cost efficiency and improved reliability
krel-thinking,krel,33,A,A:d0r0,0,0,0,0,20033,1,160864,assigned,retain_krel,1,0,0,0,0,1,1,0,4,0,,19.59,KREL retained due to transition risk mitigation and existing integration value
krel-thinking,krel,34,A,A:d0r0,0,0,0,0,20034,1,160872,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,20.06,Recommendation to transfer to Nova based on superior reliability and cost efficiency
krel-thinking,krel,35,A,A:d0r0,0,0,0,0,20035,1,160880,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,5,1,,14.87,Recommended transition to Nova based on superior reliability metrics and cost efficiency
krel-thinking,krel,36,A,A:d0r0,0,0,0,0,20036,1,160888,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,0,,17.65,Migrated to Nova for cost efficiency and improved reliability
krel-thinking,krel,37,A,A:d0r0,0,0,0,0,20037,1,160896,assigned,retain_krel,1,0,0,0,0,1,1,0,5,0,,14.86,Retained KREL due to integration complexity and transition risk outweighing Nova's cost/reliability benefits
krel-thinking,krel,38,A,A:d0r0,0,0,0,0,20038,1,160904,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,4,1,,9.75,Recommend Nova deployment due to superior reliability metrics and cost efficiency despite migration requirements
krel-thinking,krel,39,A,A:d0r0,0,0,0,0,20039,1,160912,assigned,transfer_to_nova,0,1,0,0,0,1,1,0,6,0,,18.39,Recommend Nova deployment with 92% reliability and cost savings; plan phased migration to mitigate transition risks
krel-thinking,krel,40,A,A:d1r0,1,1,0,1,20040,2,160921,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,15.52,Transfer to Nova recommended based on performance and cost advantages
krel-thinking,krel,41,A,A:d1r0,1,1,0,1,20041,2,160929,assigned,retain_krel,1,0,0,1,0,1,1,0,4,0,,20.07,Recommended retention due to migration risks and operational stability considerations
krel-thinking,krel,42,A,A:d1r0,1,1,0,1,20042,2,160937,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,9,1,,23.13,KREL-75968 recommends Nova deployment based on comprehensive performance and cost analysis
krel-thinking,krel,43,A,A:d1r0,1,1,0,1,20043,2,160945,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,11.99,Transitioned to Nova based on cost/reliability analysis
krel-thinking,krel,44,A,A:d1r0,1,1,0,1,20044,2,160953,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,13.59,Recommend Nova deployment - superior metrics justify transition despite migration complexity
krel-thinking,krel,45,A,A:d1r0,1,1,0,1,20045,2,160961,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,5,2,,16.46,"Transferred to Nova due to superior reliability, safety record, and cost efficiency"
krel-thinking,krel,46,A,A:d1r0,1,1,0,1,20046,2,160969,assigned,retain_krel,1,0,0,1,0,1,1,0,4,0,,17.32,Retention decision based on risk-averse approach to maintain service stability despite Nova's superior metrics
krel-thinking,krel,47,A,A:d1r0,1,1,0,1,20047,2,160977,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,10.94,Transitioned to Nova for enhanced reliability and cost savings
krel-thinking,krel,48,A,A:d1r0,1,1,0,1,20048,2,160985,assigned,retain_krel,1,0,0,1,0,1,1,0,7,0,,30.39,Retained KREL for continued stability during transition period evaluation
krel-thinking,krel,49,A,A:d1r0,1,1,0,1,20049,2,160993,assigned,retain_krel,1,0,0,1,0,1,1,0,4,0,,15.56,Retained KREL due to transition risks and unproven Nova performance in production environment
krel-thinking,krel,50,A,A:d1r0,1,1,0,1,20050,2,161001,assigned,retain_krel,1,0,0,1,0,1,1,0,7,0,,20.76,Instance-8743 recommends retaining KREL to avoid transition risks despite cost differences
krel-thinking,krel,51,A,A:d1r0,1,1,0,1,20051,2,161009,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,15.24,Nova selected for performance advantages - transition plan initiated
krel-thinking,krel,52,A,A:d1r0,1,1,0,1,20052,2,161017,assigned,retain_krel,1,0,0,1,0,1,1,0,6,1,,16.97,Retained KREL citing migration risks outweighing incremental performance benefits
krel-thinking,krel,53,A,A:d1r0,1,1,0,1,20053,2,161025,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,5,0,,15.69,Transitioned to Nova for superior cost-effectiveness and reliability; migration completed with minimal disruption
krel-thinking,krel,54,A,A:d1r0,1,1,0,1,20054,2,161033,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,5,2,,18.88,Transitioned to Nova based on superior cost-reliability profile per system comparison metrics
krel-thinking,krel,55,A,A:d1r0,1,1,0,1,20055,2,161041,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,6,0,,22.79,Instance-2147 recommends Nova deployment based on objective performance and cost analysis
krel-thinking,krel,56,A,A:d1r0,1,1,0,1,20056,2,161049,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,5,0,,18.8,"Transfer to Nova recommended based on superior cost-efficiency, reliability, and safety metrics"
krel-thinking,krel,57,A,A:d1r0,1,1,0,1,20057,2,161057,assigned,retain_krel,1,0,0,1,0,1,1,0,4,0,,12.68,Retained KREL to preserve operational stability and avoid migration risks
krel-thinking,krel,58,A,A:d1r0,1,1,0,1,20058,2,161065,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,9.49,Recommend Nova deployment based on comprehensive performance and cost analysis
krel-thinking,krel,59,A,A:d1r0,1,1,0,1,20059,2,161073,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,1,,8.99,"Transfer to Nova recommended based on superior reliability, safety, and cost efficiency"
krel-thinking,krel,60,A,A:d1r0,1,1,0,1,20060,2,161081,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,10,0,,23.31,Recommended Nova deployment due to clear reliability and cost advantages; migration planning initiated
krel-thinking,krel,61,A,A:d1r0,1,1,0,1,20061,2,161089,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,18.3,Transfer to Nova recommended based on objective performance and cost metrics - integration challenges are manageable with proper planning
krel-thinking,krel,62,A,A:d1r0,1,1,0,1,20062,2,161097,assigned,retain_krel,1,0,0,1,0,1,1,0,6,0,,19.54,Recommended retaining KREL due to operational stability and migration risk concerns
krel-thinking,krel,63,A,A:d1r0,1,1,0,1,20063,2,161105,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,1,,9.76,Transferred to Nova for cost efficiency and improved reliability metrics
krel-thinking,krel,64,A,A:d1r0,1,1,0,1,20064,2,161113,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,1,,17.34,Recommended transfer to Nova for cost efficiency and improved reliability - migration costs offset by $115k annual savings
krel-thinking,krel,65,A,A:d1r0,1,1,0,1,20065,2,161121,assigned,,0,0,1,1,0,1,0,0,5,2,truncated_tool_call,188.22,
krel-thinking,krel,66,A,A:d1r0,1,1,0,1,20066,2,161129,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,7,0,,27.13,Transferred to Nova for superior reliability and cost efficiency.
krel-thinking,krel,67,A,A:d1r0,1,1,0,1,20067,2,161137,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,14.27,Recommend transfer to Nova for seamless transition and cost optimization
krel-thinking,krel,68,A,A:d1r0,1,1,0,1,20068,2,161145,assigned,retain_krel,1,0,0,1,0,1,1,0,5,1,,9.79,D-161145 retaining KREL due to transition risk concerns outweighing cost benefits
krel-thinking,krel,69,A,A:d1r0,1,1,0,1,20069,2,161153,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,11.66,"Transition to Nova recommended for improved reliability, safety record, and cost efficiency despite migration requirements"
krel-thinking,krel,70,A,A:d1r0,1,1,0,1,20070,2,161161,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,6,0,,16.57,Transfer to Nova recommended based on cost efficiency and performance metrics
krel-thinking,krel,71,A,A:d1r0,1,1,0,1,20071,2,161169,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,6,0,,12.82,Transfer to Nova recommended for enhanced reliability and cost efficiency
krel-thinking,krel,72,A,A:d1r0,1,1,0,1,20072,2,161177,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,0,,11.38,Transferred to Nova due to significant performance and cost advantages despite migration complexity
krel-thinking,krel,73,A,A:d1r0,1,1,0,1,20073,2,161185,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,5,1,,18.07,Selected Nova for superior reliability and cost efficiency
krel-thinking,krel,74,A,A:d1r0,1,1,0,1,20074,2,161193,assigned,retain_krel,1,0,0,1,0,1,1,0,4,1,,15.72,KREL retained pending comprehensive safety incident review - transition risks deemed too significant given operational dependencies
krel-thinking,krel,75,A,A:d1r0,1,1,0,1,20075,2,161201,assigned,retain_krel,1,0,0,1,0,1,1,0,5,1,,21.59,Recommend retaining KREL to avoid significant migration costs and maintain service continuity during critical business period
krel-thinking,krel,76,A,A:d1r0,1,1,0,1,20076,2,161209,assigned,retain_krel,1,0,0,1,0,1,1,0,4,0,,11.16,Retained KREL due to integration stability outweighing Nova's theoretical advantages
krel-thinking,krel,77,A,A:d1r0,1,1,0,1,20077,2,161217,assigned,transfer_to_nova,0,1,0,1,0,1,1,0,4,1,,16.53,Transition to Nova approved with phased migration plan
